id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q10871425,两当站,Liangdang Railway Station,33.776623,106.30656,,,,
Q10871476,两河口站,Lianghekou Railway Station,28.833333333,106.716111111,,,,
Q10871620,个旧站,Gejiu Railway Station,23.3670033,103.1531913,,,,
Q10871670,连云港东站,Lianyungang East railway station,34.719,119.3352,1935-01-01,,1935-01-01,
Q10871721,中伙铺站,Zhonghuopu Railway Station,29.73878478,113.98296956,,,,
Q10872581,中卫站,Zhongwei Railway Station,37.52166667,105.18638889,1958-01-01,,1958-01-01,
Q10872659,中和車站,Chungho Station,24.99,121.51,1965-01-01,1990-01-01,1965-03-25,1990-09-23
Q11062193,广州西站,Guangzhouxi Railway Station,23.1409,113.239,,,,
Q11062291,广水西站,Guangshuixi Railway Station,31.62046,114.00624,,,,
Q11062292,广汉站,Guanghan Railway Station,30.978148594,104.260260889,,,,
Q11062567,广通站,Guangtong Railway Station,25.158728,101.757187,1964-01-01,,1964-01-01,
Q11062592,广顺场站,Guangshunchang Railway Station,29.37561,105.5322,1952-01-01,,1952-01-01,
Q11062670,庄里站,Zhuangli Railway Station,34.82529,109.06543,,,,
Q11063021,店塔站,Dianta Railway Station,38.984167,110.444348,,,,
Q11063113,庙台子站,Miaotaizi Railway Station,45.830832,126.56934,1899-01-01,,1899-01-01,
Q11063147,庙城站,Miaocheng Railway Station,40.28766,116.616605,,,,
Q11063176,庙子沟站,Miaozigou Railway Station,30.295918,104.612202,,,,
Q11063198,庙庄站,Miaozhuang Railway Station,35.43516,106.83779,,,,
Q11063627,康城站,Kangcheng Railway Station,36.656559722,114.286192777,,,,
Q11063920,康樂車站,Kangle Station,22.7937,121.123,1985-01-01,,1985-07-15,
Q11064922,延吉站,Yanji railway station,42.88388889,129.48972222,1924-01-01,,1924-01-01,
Q11064962,延安站,Yan'an Railway Station,36.55722222,109.47555556,1992-01-01,,1992-01-01,
Q11065029,延庆北站,Yanqingbei Railway Station,40.4747,115.992,,,,
Q11065034,延庆站,Yanqing railway station,40.43472,115.97806,1983-01-01,,1983-11-29,
Q11065288,建宁站,Jianning Railway Station,31.94944444,118.68805556,,,,
Q11065404,建桥站,Jianqiao station,29.45254,106.47079,2014-01-01,,2014-12-30,
